f1,f2,sim
presentazione del corso,presentazione e avvicinamento all informatica,0.70613956
presentazione e avvicinamento all informatica,human s brain control who controls who  l importanza della conoscenza e dell apprendimento dell informatica,0.7694272
human s brain control who controls who  l importanza della conoscenza e dell apprendimento dell informatica,motivazione,0.3779098
motivazione,imparare ad utilizzare gli strumenti informatici essere utile per un maggiore controllo dei dati,0.40760478
imparare ad utilizzare gli strumenti informatici essere utile per un maggiore controllo dei dati,conoscenza e consapevolezza,0.691296
conoscenza e consapevolezza,imparare,0.4439042
imparare,abbiamo il mondo in mano,0.33753523
abbiamo il mondo in mano,farci rendere conto che sappiamo poco della tecnologia che abbiamo a disposizione,0.8178748
farci rendere conto che sappiamo poco della tecnologia che abbiamo a disposizione,motivazione   verifica conoscenze pregresse,0.7130837
motivazione   verifica conoscenze pregresse,motivazionale,0.47652072
introduzione al corso,introduzione del corso,0.9681224
introduzione del corso,presentazione corso,0.7408688
presentazione corso,non tutte la conoscenza si trova su internet,0.55165416
non tutte la conoscenza si trova su internet,imparare a gestire le macchine invece che farsi controllare da esse,0.8139975
imparare a gestire le macchine invece che farsi controllare da esse,introduzione,0.39068538
introduzione,informazioni sul corso di informatica,0.3392015
informazioni sul corso di informatica,bisogna imparare ad utilizzare bene internet e i dispositivi tecnologici,0.6904404
introduzione all informatica,motivazione del corso di studio,0.5381459
motivazione del corso di studio,presentare il corso e valutare il livello generale di conoscenza relativo all informatica,0.8689886
interessante,la lezione essere stata motivazionale e introduttiva e serviva al professore per capire le nostre conoscenze sulla programmazione,0.47871646
la lezione essere stata motivazionale e introduttiva e serviva al professore per capire le nostre conoscenze sulla programmazione,motivazione,0.51541007
motivazione,comunicare,0.34097975
comunicare,interessante,0.25213358
interessante,incitamento allo studio dell informatica,0.3566863
incitamento allo studio dell informatica,variabili e algoritmi,0.51253885
variabili e algoritmi,la variabile matematica essere diversa da quella informatica  gli algoritmi sono sequenze di operazioni per risolvere un problema o ottenere un risultato e li usiamo spesso nella vita quotidiana senza saperlo,0.7589219
la variabile matematica essere diversa da quella informatica  gli algoritmi sono sequenze di operazioni per risolvere un problema o ottenere un risultato e li usiamo spesso nella vita quotidiana senza saperlo,cos essere un algoritmo  cos essere una variabile,0.8178871
cos essere un algoritmo  cos essere una variabile,cosa si intende per  variabile informatica  e per  algoritmo,0.8210021
cosa si intende per  variabile informatica  e per  algoritmo,introduzione a variabili ed algoritmi,0.81824774
introduzione a variabili ed algoritmi,concetto di variabile e algoritmo,0.8883644
concetto di variabile e algoritmo,variabile,0.7049479
variabile,definizioni di algoritmo e variabile in informatica procedurale,0.61701536
definizioni di algoritmo e variabile in informatica procedurale,definizione di variabile informatica e algoritmo,0.9590753
definizione di variabile informatica e algoritmo,variabili e algoritmo,0.8974499
variabili e algoritmo,descrizione di variabile informatica e del concetto di algoritmo,0.83966416
descrizione di variabile informatica e del concetto di algoritmo,variabile e algoritmo,0.8615938
variabile e algoritmo,basi di informatica,0.5463241
spiegazione variabile e definizione di algoritmo,variabili e algoritmi,0.8446722
variabili e algoritmi,spiegazione di concetto di variabile informatica e di algoritmo,0.8279841
spiegazione di concetto di variabile informatica e di algoritmo,variabile e algoritmo,0.86566323
variabile e algoritmo,algoritmo e variabile informatica,0.9417513
algoritmo e variabile informatica,algoritmi e variabili,0.86768776
algoritmi e variabili,concetto di variabile informatica e di algoritmo,0.8545327
concetto di variabile informatica e di algoritmo,algoritmo e variabili differenti da matematica,0.90554154
algoritmo e variabili differenti da matematica,concetto di variabile informatica e algoritmo,0.90483403
concetto di variabile informatica e algoritmo,variabili e algoritmi,0.86412156
variabili e algoritmi,algoritmo  variabili,0.9050238
algoritmo  variabili,algoritmi e significato di x,0.7231252
algoritmi e significato di x,che cos essere un algoritmo,0.7769738
che cos essere un algoritmo,algoritmo,0.70990205
algoritmo,spiegazione algoritmo,0.88747907
spiegazione algoritmo,variabile e algoritmo,0.7739102
variabile e algoritmo,basi di informatica  variabili e algoritmi,0.8071717
basi di informatica  variabili e algoritmi,algoritmi e argomenti introduttivi,0.77113193
algoritmi e argomenti introduttivi,spiegazione del significato di variabile in informatica e di algoritmo,0.7298654
spiegazione del significato di variabile in informatica e di algoritmo,variabili  algoritmi,0.7885271
variabili  algoritmi,variabili e algoritmi,0.97283006
variabili e algoritmi,algoritmi e variabili,1.0
algoritmi e variabili,variabili e algoritmi,1.0
variabili e algoritmi,variabile matematica e informatica e algoritmo,0.85323334
variabile matematica e informatica e algoritmo,variabili e algoritmi,0.85323334
variabili e algoritmi,comprensiva,0.2762785
comprensiva,base della programmazione,0.3718041
base della programmazione,concetto di variabile e algoritmo,0.6303674
concetto di variabile e algoritmo,cosa si intende per variabile informatica e algoritmo,0.9033267
cosa si intende per variabile informatica e algoritmo,algoritmo,0.68436867
algoritmo,la definizione di variabile e algoritmo,0.68062276
la definizione di variabile e algoritmo,spiegazione della variabile informatica e algoritmo,0.91495943
spiegazione della variabile informatica e algoritmo,diretta,0.3401879
diretta,definizione di variabile e algoritmo,0.3596998
definizione di variabile e algoritmo,apprendere u concetti principali dell informatica,0.59819543
apprendere u concetti principali dell informatica,concetto di variabile informatica e differenze da quella matematica   concetto di algoritmo ed esempi,0.74374723
concetto di variabile informatica e differenze da quella matematica   concetto di algoritmo ed esempi,algoritmo e variabili,0.7721113
algoritmo e variabili,concetto di algoritmo e variabile informatica,0.8943181
concetto di algoritmo e variabile informatica,variabile e algoritmo in programmazione procedurale,0.88998973
variabile e algoritmo in programmazione procedurale,gli algoritmi,0.72806513
gli algoritmi,variabili e algoritmi,0.8513326
variabili e algoritmi,definizione di variabile in informatica procedurale  algoritmo,0.8432846
definizione di variabile in informatica procedurale  algoritmo,elementi informatici,0.58847463
elementi informatici,variabile e algoritmo,0.425715
variabile e algoritmo,definizioni di variabile informatica e algoritmo,0.9043273
definizioni di variabile informatica e algoritmo,gli algoritmi sono dappertutto,0.7451908
gli algoritmi sono dappertutto,definizioni di variabile informatica e algoritmo,0.7451908
definizioni di variabile informatica e algoritmo,prime nozioni di informatica,0.7621751
prime nozioni di informatica,algoritmi ed i due tipi di variabili,0.6796595
algoritmi ed i due tipi di variabili,introduzione alle variabili e algoritmi,0.9004542
introduzione alle variabili e algoritmi,comprendere cosa essere una variabile informatica,0.76471233
comprendere cosa essere una variabile informatica,concetto di variabile informata e di algoritmo,0.8442398
concetto di variabile informata e di algoritmo,imparare termini quali variabile e algoritmo in informatica,0.88364893
imparare termini quali variabile e algoritmo in informatica,definizione,0.48637456
definizione,variabile e algoritmo,0.42851478
variabile e algoritmo,variabili e algoritmi,0.8785419
x in informatica non essere incognita  ma memoria,algoritmi e variabili,0.6636944
algoritmi e variabili,introdurre concetti base dell informatica,0.6600728
introdurre concetti base dell informatica,variabile e algoritmi,0.64597446
algoritmi,concetto di algoritmo,0.7546371
concetto di algoritmo,differenza tra variabile matematica e informatica  algoritmo,0.81990683
differenza tra variabile matematica e informatica  algoritmo,il concetto di algoritmo e il concetto di variabile,0.8686337
il concetto di algoritmo e il concetto di variabile,concetto di variabile e algoritmo,0.953728
concetto di variabile e algoritmo,definizione di variabile e algoritmo,0.9754638
definizione di variabile e algoritmo,spiegare cosa vuol dire variabile informatica e introduzione agli algoritmi,0.8158731
spiegare cosa vuol dire variabile informatica e introduzione agli algoritmi,differenza tra variabile matematica e variabile informatica definizione del concetto di algoritmo,0.8779695
differenza tra variabile matematica e variabile informatica definizione del concetto di algoritmo,definizione variabile informatica  e algoritmo,0.95356786
definizione variabile informatica  e algoritmo,definizione variabile e algoritmo,0.9459644
definizione variabile e algoritmo,algoritmo,0.7769916
algoritmo,interessante,0.2059681
interessante,variabile algoritmo,0.31014746
variabile algoritmo,gli algoritmi e l esser procedurali,0.63550967
gli algoritmi e l esser procedurali,algoritmi e variabili,0.77245814
algoritmi e variabili,concetto di variabile e algoritmo,0.8672942
concetto di variabile e algoritmo,variabile ed algoritmo,0.9386851
variabile ed algoritmo,insegnare e apprendere le prime nozioni di informatica,0.50263387
insegnare e apprendere le prime nozioni di informatica,come usare gli algoritmi,0.6898685
come usare gli algoritmi,introduzione argomenti di base,0.64565915
introduzione argomenti di base,algoritmi,0.39386025
algoritmi,variabile,0.32348996
variabile,variabili informatiche e algoritmi,0.5393185
variabili informatiche e algoritmi,interessante,0.30307534
interessante,la variabile informatica procedurale essere una memoria con nome ed essere diversa dalla variabile matematica che essere un incognita   un algoritmo essere una sequenza di informazioni fornite per risolvere un problema,0.44743216
la variabile informatica procedurale essere una memoria con nome ed essere diversa dalla variabile matematica che essere un incognita   un algoritmo essere una sequenza di informazioni fornite per risolvere un problema,gli algoritmi sono presenti ovunque,0.73367196
gli algoritmi sono presenti ovunque,definizione di algoritmo e variabile,0.724282
definizione di algoritmo e variabile,variabili e algoritmi,0.87253445
variabili e algoritmi,definizione di incognita informatica e di algoritmo,0.8161747
definizione di incognita informatica e di algoritmo,apprendere le nozioni basilari dell informatica,0.7008148
concetto di variabile in informatica procedurale e concetto di algoritmo,significato e applicazione di variabile e algoritmo,0.9299961
significato e applicazione di variabile e algoritmo,che cosa essere l algoritmo e come si calcola,0.8512892
cosa sono una variabile informatica e un algoritmo,differenza tra le variabili matematiche e informatiche,0.8268209
